ID,municipio,total_liag_2011,Obito_2011,total_liag_2012,Obito_2012
1,ALECRIM,3,0,1,0
2,ALEGRETE,9,0,4,0
3,ALVORADA,26,0,16,0
4,ARARICA,2,0,1,0
5,ARROIO DO MEIO,2,0,6,0
6,ARROIO DO SAL,1,0,1,0
7,ARROIO DO TIGRE,1,0,1,0
8,ARROIO DOS RATOS,1,0,2,0
9,ARROIO GRANDE,2,0,3,0
10,BAGE,11,1,10,0
11,BARRACAO,2,0,1,0
12,BENTO GONCALVES,9,0,12,0
13,BOA VISTA DAS MISSOES,1,0,2,0
14,BOA VISTA DO CADEADO,1,0,1,0
15,BOM PRINCIPIO,2,0,2,0
16,BRAGA,2,0,1,0
17,BROCHIER,1,0,1,0
18,BUTIA,3,0,4,0
19,CACAPAVA DO SUL,6,0,8,0
20,CACHOEIRA DO SUL,4,0,2,1
21,CACHOEIRINHA,11,0,8,0
22,CACIQUE DOBLE,3,0,1,0
23,CAMAQUA,14,0,18,0
24,CAMPINAS DO SUL,2,0,1,0
25,CAMPO BOM,17,1,13,0
26,CAMPOS BORGES,2,0,1,0
27,CANDIOTA,1,0,2,0
28,CANELA,12,0,11,0
29,CANGUCU,7,0,6,0
30,CANOAS,9,0,19,0
31,CAPAO DA CANOA,9,0,7,0
32,CAPAO DO LEAO,2,0,3,0
33,CAPELA DE SANTANA,4,0,3,0
34,CARAZINHO,8,0,3,0
35,CARLOS BARBOSA,1,0,9,0
36,CAXIAS DO SUL,16,1,30,1
37,CERRO GRANDE DO SUL,3,0,2,0
38,CHARQUEADAS,8,0,17,0
39,CHUVISCA,2,0,1,0
40,CIDREIRA,4,0,2,0
41,CIRIACO,1,0,4,0
42,CRUZ ALTA,31,0,24,0
43,DEZESSEIS DE NOVEMBRO,1,0,3,0
44,DILERMANDO DE AGUIAR,1,0,1,0
45,DOIS IRMAOS,7,0,2,0
46,DOM FELICIANO,2,0,1,0
47,DOM PEDRITO,4,0,2,0
48,ELDORADO DO SUL,2,0,12,0
49,ENTRE IJUIS,5,0,5,0
50,ENTRE RIOS DO SUL,4,0,1,0
51,EREBANGO,1,0,2,0
52,ERECHIM,20,0,18,0
53,ESPERANCA DO SUL,1,0,1,0
54,ESTACAO,1,0,1,0
55,ESTANCIA VELHA,4,0,4,0
56,ESTEIO,7,0,2,0
57,ESTRELA,4,0,3,0
58,EUGENIO DE CASTRO,2,0,2,0
59,FAGUNDES VARELA,2,0,1,0
60,FELIZ,5,0,1,0
61,FORMIGUEIRO,1,0,1,0
62,FREDERICO WESTPHALEN,10,0,2,0
63,GARIBALDI,8,0,12,0
64,GRAMADO,3,0,8,0
65,GRAMADO XAVIER,1,0,1,0
66,GRAVATAI,27,0,13,0
67,GUAIBA,21,0,22,0
68,HORIZONTINA,3,0,4,0
69,IBARAMA,1,0,1,0
70,IBIRAPUITA,2,0,1,0
71,IBIRUBA,3,0,2,0
72,IGREJINHA,7,0,5,0
73,IMBE,2,0,5,0
74,IRAI,1,0,2,0
75,ITAQUI,6,0,3,0
76,ITATI,1,0,1,0
77,IVOTI,11,0,4,0
78,JACUIZINHO,2,0,1,0
79,JAGUARAO,2,0,3,0
80,JULIO DE CASTILHOS,3,0,2,0
81,LAGOA VERMELHA,9,0,9,0
82,LAGOAO,2,0,4,0
83,LAJEADO,15,0,3,0
84,MARAU,10,0,2,0
85,MATO CASTELHANO,1,0,1,0
86,MONTENEGRO,4,0,10,0
87,NONOAI,5,0,4,0
88,NOVA ARACA,1,0,5,0
89,NOVA HARTZ,3,0,7,0
90,NOVA PETROPOLIS,1,0,1,0
91,NOVA PRATA,5,0,6,0
92,NOVO HAMBURGO,24,0,36,0
93,OSORIO,7,0,3,0
94,PALMEIRA DAS MISSOES,8,0,5,0
95,PAROBE,12,0,10,0
96,PASSO FUNDO,38,0,24,0
97,PAVERAMA,2,0,2,0
98,PELOTAS,14,0,8,0
99,PIRATINI,4,0,1,0
100,PORTAO,5,0,3,0
101,PORTO ALEGRE,136,1,146,0
102,REDENTORA,2,0,3,0
103,RESTINGA SECA,2,0,3,0
104,RIO GRANDE,38,0,20,0
105,RIO PARDO,3,0,3,0
106,RODEIO BONITO,6,0,2,0
107,ROLANTE,4,0,14,0
108,RONDA ALTA,1,0,4,0
109,RONDINHA,1,0,1,0
110,ROSARIO DO SUL,7,0,7,0
111,SALTO DO JACUI,3,0,1,0
112,SALVADOR DO SUL,1,0,2,0
113,SANANDUVA,7,0,7,0
114,SANTA BARBARA DO SUL,4,1,4,0
115,SANTA CRUZ DO SUL,31,1,6,0
116,SANTA MARIA,15,0,13,0
117,SANTA ROSA,11,0,8,0
118,SANTA VITORIA DO PALMAR,1,0,1,0
119,SANTANA DO LIVRAMENTO,2,0,2,0
120,SANTIAGO,32,0,30,0
121,SANTO ANGELO,11,0,8,0
122,SANTO ANTONIO DA PATRULHA,6,0,4,0
123,SANTO ANTONIO DAS MISSOES,2,0,3,0
124,SANTO CRISTO,1,0,2,0
125,SAO BORJA,6,0,3,0
126,SAO FRANCISCO DE PAULA,2,0,4,0
127,SAO GABRIEL,6,0,9,0
128,SAO JERONIMO,4,0,2,0
129,SAO JOSE DO NORTE,1,0,2,0
130,SAO JOSE DO OURO,2,0,7,0
131,SAO LEOPOLDO,19,0,23,0
132,SAO LOURENCO DO SUL,4,0,8,0
133,SAO LUIZ GONZAGA,4,0,5,0
134,SAO MARTINHO,3,0,2,0
135,SAO MIGUEL DAS MISSOES,2,0,2,0
136,SAO PEDRO DO SUL,2,0,2,0
137,SAO SEBASTIAO DO CAI,6,0,9,0
138,SAO SEPE,4,0,6,0
139,SAPIRANGA,14,0,26,0
140,SAPUCAIA DO SUL,8,0,6,0
141,SARANDI,1,0,5,0
142,SENTINELA DO SUL,2,0,2,0
143,SINIMBU,1,0,3,0
144,SOBRADINHO,4,0,3,0
145,SOLEDADE,5,0,3,0
146,TAPEJARA,6,0,4,0
147,TAPES,4,0,3,0
148,TAQUARA,9,0,8,0
149,TAVARES,2,0,4,0
150,TENENTE PORTELA,11,0,9,0
151,TORRES,5,0,1,0
152,TRAMANDAI,4,0,8,0
153,TRES COROAS,10,0,9,0
154,TRES DE MAIO,3,0,4,0
155,TRIUNFO,14,0,8,0
156,TUCUNDUVA,2,0,2,0
157,TUPANCIRETA,7,0,10,0
158,TUPANDI,1,0,1,0
159,URUGUAIANA,24,0,18,0
160,VACARIA,4,0,3,0
161,VENANCIO AIRES,9,0,11,0
162,VERA CRUZ,1,0,1,0
163,VERANOPOLIS,3,0,6,0
164,VIADUTOS,1,0,1,0
165,VIAMAO,29,1,25,0
166,VICENTE DUTRA,1,0,2,0
167,VISTA ALEGRE,1,0,1,0
168,XANGRI-LA,3,0,3,1
